jaccard,tfidf,embedding
0.3136094674556213,0.7438118306482872,0.90607
0.3620689655172414,0.8376386066848267,0.83211786
0.41139240506329117,0.8499220828610754,0.8878429
0.6521739130434783,0.9592691707652878,0.9606886
0.6470588235294118,0.9200794533991912,0.9166738
0.42138364779874216,0.8169297716590752,0.8955279
0.6619718309859155,0.9375119055715411,0.98214394
0.52,0.8582662951827139,0.92022115
0.7321428571428571,0.9620206459031408,0.9786099
1.0,1.0,1.0000001
0.6842105263157895,0.9682529076724014,0.9711937
0.7534246575342466,0.9930545009766,0.9960524
0.28780487804878047,0.7898852479584229,0.8518493
0.37623762376237624,0.6814367286712762,0.87089455
0.5039370078740157,0.8071452137268524,0.92327166
0.27169811320754716,0.8182186994520064,0.9203445
0.2788844621513944,0.6943812025446191,0.90114725
0.8953488372093024,0.9814346063879412,0.99262846
0.4715447154471545,0.7919661885585285,0.954277
0.3333333333333333,0.7974115990172665,0.9028125
0.24786324786324787,0.5359567666078994,0.8709342
0.7052631578947368,0.8632337139002042,0.9757069
0.33796296296296297,0.8476700289858116,0.90062773
0.2532188841201717,0.7583632644293643,0.921533
0.23036649214659685,0.7614033588969927,0.77629864
0.693069306930693,0.9105757591669091,0.955359
0.41379310344827586,0.8254622774809293,0.9428975
0.5172413793103449,0.9053013642264022,0.95406944
0.3588235294117647,0.8839483242567581,0.94021773
0.6666666666666666,0.9031255893258492,0.9619333
